servers,requests
7619574633,2489324735
384225733,4545083820
5448464072,5257128354
2558713932,7902216431
340062137,382539528
1854582220,2499512622
6161608861,6351500866
332616585,3300135059
2304288580,734170257
2390476425,1987334446
4177637223,6985903794
2133036193,323192800
2353067051,2424961332
733789223,2302210382
8066715586,5505921414
5921138735,2967557720
2284753874,5921138475
7231861673,6122769557
2132316233,1350996071
5257091997,2459514563
2967557708,6094334807
2264603627,1674351147
239451422,726628727
7953559157,2575677145
387156770,7266761389
3688756221,1718863733
1429524726,1230291533
4898499508,5260536127
4686715054,2302194113
1828316826,733992792
2958762872,1840718933
1349044047,1350996088
1015656865,7822270569
6586292658,6122769557
1984959716,2513651040
1327769798,5975960332
754398987,733860021
245111942,537974909
2336883711,1351023246
1634361538,605965557
5257082024,2857344064
292594360,2122594900
2207734517,733858989
8402144546,245108069
3010473715,1829364306
3347258842,1420010748
1298005694,2290922405
8039309155,746856608
1652481768,5845069332
733859264,701822584
2513650991,8190456392
8023894093,528596497
2010541467,322527383
1272249640,7953559154
1734127575,2500614407
3010473853,606887923
701080331,534301676
1977867485,1356587822
7110914172,2668903862
1343050153,1359328822
1598669884,734571018
324264150,317995036
534246720,8100939420
8230110974,5929004497
1737609959,2343766930
1278005877,2010523606
7045844041,388005908
701734674,2461496817
528911157,1930705868
733859031,5293830967
8584940386,734417943
3019407803,8700161929
459582626,1415627420
1252212583,1765216459
8484384373,8181473657
3711476099,385036866
593586552,2614705221
294124096,1837712785
8195881828,1771738182
754401974,2304288565
324264265,1519696606
529963055,1350327476
8023894113,1584067991
7950274999,330842109
6506027685,915664843
1411178917,4613488537
7828091045,726629688
1293134796,1838508278
528782778,382540622
330588110,1419137235
734417844,1325550735
2515879234,8259221375
734520399,656035868
2132316245,8620089703
5294866176,1803810848
1497364448,1719003226
1362305674,4369875376
4898498304,3805295413
2377580169,1362315806
4717974960,3875625846
4605156023,5841745607
1654208396,1849465509
1808447566,317995380
31205104,1293140952
7867265936,2207733179
322121596,3738695591
4898499175,1828299376
1666820211,76457116
2036531683,1808688571
6780237735,533580008
1362305660,5718038108
1298031838,530648298
701839249,8195795847
1361170291,1420909587
1837243377,2122594890
1231521166,5293830991
1599591026,1814111729
3708879510,8179935979
2499512663,288368648
2304288597,1968392416
1298005697,1317216452
1192323538,8283458421
534306060,8190456382
2496567571,1327779347
604820685,606795010
1840733236,534303411
1189200440,1838498598
1923857575,264827666
1647627622,1190930411
4349277132,2360241147
35553136,4712970480
1207046845,1189099877
260726393,1742785889
8672172776,1599968945
1410718541,5277812728
529345107,8066781975
35867598,1992226938
2614705221,754517218
1736610763,340239120
1813996270,1243758305
266109235,726615777
3019411876,5578386514
727257191,1343049939
1361503558,8721994418
1679698997,529532212
528584401,5908897759
325915598,8230111155
35722736,8266065266
8685968656,3731333856
294124586,8032689453
1719003227,1860097082
266111658,1808674013
700009266,733860085
2794007156,3300135051
4718068377,1733378162
4613488537,1652547446
734520578,6161608840
6007826883,4685479486
1891062037,8190473678
4716397103,6584058573
3300027084,2321338022
5921139057,1419137525
3678531795,1667135823
1583042958,3709006384
2477836866,5077445952
1351023818,1192323485
5222815839,3643528928
1231748164,1854582128
1243758243,8259221961
1838508301,1252068996
1852486451,331148410
1736610653,1771676528
644616254,2489324742
8032206088,1239554868
3700607560,1840718950
1519766207,2103119683
7524706769,2442592385
2512646703,8233034419
534251759,6743339382
5623356491,8190434485
5945078576,1665509267
8230159472,1414025829
734569891,1743058148
2284989061,4160214714
701059135,332474225
1673265511,6691246886
1872483278,644616773
2304301966,605969524
2426893841,733858875
529537779,1930705891
7264074433,2443907720
4686715074,529964994
245142586,6585264990
2122141161,1349044001
2207734223,2794002576
1854582129,1295899830
321939014,5954948735
2575647252,1742785909
2321521868,8032695405
4222115997,5257123188
4357242573,1767304560
3010471077,906474205
3010473469,8628640156
8379806837,1532554076
2133036372,331013844
1293134732,2490576107
1734127601,1327779368
1356075488,1658147446
332475845,5491299330
2115201403,1985434261
529345107,4716312366
1734214050,7980805126
1325523796,2453799081
8230111150,2133036246
2720479569,7450484513
2494941337,1243786221
5928997767,2614705224
677289105,1985434422
3574930193,8066715586
1685983272,4397627466
31204696,1410887141
6585260992,3099999955
3010473901,4120378584
7247366827,1968392408
296346391,1721502181
1802398406,605790709
1598502680,1813996270
1673265463,76457143
4017924035,7043687473
1359329343,320469179
1976297643,288038478
1716349196,5921139018
6947996389,3225437099
534248407,2199315232
1808447286,383999628
35553136,7031823894
7867265939,1361170260
1771676983,320691274
1719068734,1861592887
1317051695,3965929170
1831125412,2290521683
1296155081,5966883261
3281734958,3024708835
6160878045,1406706250
8100926626,3010473378
644603721,1634403556
4613896033,1673265485
1861654996,4794988671
920058133,746496428
528591465,1190930449
530653955,4746301901
7840263632,1293134703
3748766573,726587352
2575647197,2199344689
8190434513,4718068376
8379806842,1317051476
3019444683,380423854
8205274485,332948751
7953559156,292592498
4807300382,8259226834
8190453845,1838483352
8195757277,8379758659
8484384372,2823813484
1852440394,1719003219
2293148418,2366965305
6433517473,1650224082
6238324833,511980744
7904909668,1270216590
6836283888,4049949781
534125143,604783906
2207733293,3315887308
6290854208,8230126868
606825802,3010473954
2489574568,4583502037
6856834595,8613981078
3773844449,1095475807
733858800,6392852260
2791826577,4897291292
530640574,2302253564
4618050455,529961810
6778570760,4716501861
32618837,726616735
1667652097,534304080
2464952599,1230291378
8190525961,6443074830
2366965305,8100937084
4716733698,8066838146
1634360641,534248690
1226548268,5257091996
700042902,1417716263
403081277,1029718527
529363369,2619393089
533658145,1587187689
8195795858,1814086977
1802398466,8269087251
733860027,529964803
1421587228,746856660
289272252,2123321505
8283522818,1852430241
384257037,1745111651
1423966956,1827171420
5272916648,8190525923
8259226827,321415769
1211859160,1230361049
1849465440,1802595156
4686439058,6238324837
1226548267,1272250212
7110874254,252852269
1359328814,1737609749
4357242541,746804829
1716349286,1621449485
8155060145,5257123191
2122595085,2122595080
981883555,129899686
7264074413,1889048153
8100939582,2423797934
4686715195,1190930403
1852440450,2614705223
4479423847,1519696655
2794007153,1872477922
1597402909,2461591867
2293148421,8100988690
1423628523,8259221382
7261666148,343318311
3225437077,1230291404
3754564579,981930355
4583502037,317994352
2036531685,3382438156
734418503,8190478974
8620350821,1802595068
1869966798,1410728808
6392852268,7867257419
1336339174,4122650917
644621802,746856608
1192323517,7726262240
7957509677,2613340358
1808674089,2477836818
1673265570,1239554868
4746301895,3300027077
6351500851,296298314
734046270,8106090480
734419023,8190473715
1939315630,6778570777
529495068,1298031823
1686001178,3225437076
2499512666,4199876280
2302253630,1029718527
2327699475,5975960332
1807477838,8100955963
8066775399,8706889508
2036213443,7957526727
8259236262,534248690
5263607791,6164348459
754516703,1410728778
1519301762,534550576
1853081501,1687193531
8259222018,31018090
1666820216,8230126905
4684883828,2720470487
8283562258,1230361237
321231586,466948183
2302210393,4759652600
1634854025,8190555423
1808717238,1653985997
1890893708,754398987
3382438153,3204190455
36704890,4331008182
4685479425,5128186652
533599380,6451426080
330588556,4242907386
245112150,258969957
7823055763,258970211
1074578691,7450484596
5350586115,2390966711
3810779764,1239554876
2489324744,1341097589
1802903214,8093518699
1836457665,1762143711
7110916594,733992933
3061013540,5848811362
6712194924,7552767273
3688760149,1202992928
1829396936,2906621122
294118707,533650827
4730618853,8195855599
2512646729,1765216459
606054409,6008389397
1231514670,1652481875
4686439034,529498508
244467992,6164348432
3300183889,734571018
922928966,1304730579
606835732,4076125723
1408034385,8195757305
1359329001,2321339182
734418903,1658147564
4613488550,330841132
4897303400,5294869778
296816595,1807875213
332263280,1803810872
7890340986,734045807
2304272768,746804873
7288956153,76457600
1984976618,4806067682
1718852298,1189179642
294122522,1327769576
8100988634,534303140
5467387561,2720469565
3424290638,1359328982
1716400279,325683370
1231748116,341202431
4745579709,604836431
5183874424,1300406492
746966184,244467891
3574930194,1918810100
644629161,320469453
4076125608,1497364358
2122595066,8195792008
1622356049,8379806907
1891073426,605778119
1721478307,533655912
277313620,8283441060
863223837,1718863726
754397511,2302194120
2122141083,7266761407
269423677,1598502433
733860082,7957526710
5258151001,5472968465
320907427,528980606
6439980323,3731045903
1351024348,8190456349
1849465542,734569785
8205256602,3424286526
529339668,6165836622
2048161738,2458116631
1343050546,256832932
1765245311,4419317407
286278163,317991809
5966885372,2304288693
6585412933,330846241
3099999955,1202992849
1410718575,345589069
1343049908,1836655604
8190525882,1038275237
1721642084,8662392252
3315887358,1984976618
2306911295,5970041947
4891638655,8230126870
1808570717,5612831372
1807791712,2461199944
340412818,1192323471
1687193427,8660800022
1802398444,343318174
4400679163,8259226869
331149176,7937424081
7124116855,2471695128
245154198,754515689
2454650158,4540690056
8571680102,286252452
6585412964,1360099096
2230046211,534313226
8230002352,1736413219
529971273,4583502030
3773844450,4759547467
8190478961,3281734951
1419137245,289129184
746856716,8283522646
8484384371,605040864
1722904906,7141614418
1906192220,6403810270
3904042721,245150070
2454650232,586469246
494282827,1936506783
586470733,1890893708
1732795524,5253520804
8250970713,1859897269
332617671,1843408122
1420029066,1571464679
3445934899,3072783161
1243786189,1360087415
280038549,333171148
754398348,5916107099
8278912567,8269087245
1095475807,8503828563
734418667,1346794690
877053892,6856834595
1351023266,2098437755
1802524521,1842187349
530641638,8692101571
5259217237,734418379
8100886010,4017837362
3300135056,4685479504
1356069577,8266065262
