servers,requests
294114843,1765216405
8266387874,289276178
8100912178,1598669874
2692317150,8068571447
1716349862,1621552110
2501880327,287967367
1807828231,7609344018
1802903221,325683420
265710696,290598355
8049106861,1406706259
7937425335,4685479414
2699109311,1808447482
2554015147,1828299264
733859738,1415627420
2284753901,4836221829
1808597610,245106649
7640137758,6351500852
1737609898,1816066966
529341803,3347258841
1497364448,610847572
8066715621,2499512701
1836655648,529575509
2424906811,2327699484
4199877614,654165793
528596497,5293830983
734520494,3506893956
2030104673,8230111264
2995462840,286387105
5260248891,477087860
380763210,981930368
1349117264,644622466
371157932,745451480
337508816,8066768775
1977851955,2512631192
1056760454,4861050569
1346457738,384142919
3810779783,2354336419
2489324701,8230111155
5955937532,726616745
2451282551,1243729611
3099999960,7769626712
2122596235,1765216316
2321337998,1359329291
2611862023,8259226926
3251894585,1449318302
734418798,8039757585
2199356764,8230111165
2199356760,2101011258
3748766557,3823999808
1716349749,35552053
1721478309,3140681366
256875108,733788806
1803810820,245109119
8283562234,701733618
1670551655,2175282038
1979463093,36380666
733992902,533634622
1363518532,5258150984
286253282,5588104790
264827881,384256250
1272249869,258971034
294122642,1849465255
2578122401,534300644
6691271341,8721994424
2416011021,1840733220
6341244580,1634975457
30993642,1745111577
320829192,3713194070
1817905729,734571046
343318313,472560737
1343052329,2680384706
1350995994,322523075
2360241147,7620082029
1272235714,1687193513
701839149,920058133
1687193595,4746301889
605267881,2036213460
1359328938,2304301956
8709296450,6862033020
1808612297,2861486390
7957526639,534306842
606823455,1502696802
8266065319,8023894100
7261741901,4076125535
6780139238,1587187716
754400172,2500451677
2554015168,1420909585
8100939446,1634274099
3239803510,1807791744
8190453837,601456084
6398560300,528918442
5253520798,1343050026
5929059853,7124116856
1872477925,2595027930
8259221400,332472415
1765225598,5955937584
2587477691,72855736
7110874246,5915056625
2958762871,2418894223
8049125707,534554475
1858447031,7899839812
3010471049,1802595135
289273782,332616584
1361147278,410835080
1429524727,288368677
1364078559,289555557
1549151096,7106131571
734045627,4724379828
1817046684,754515307
1836427273,7922673660
8179935979,8100926644
1985434225,339581672
2304272788,726637659
2302253564,1964264747
8230147116,3748766571
916286765,8259236253
981019218,1600000857
1350996038,2699109357
8259183692,3347258841
754404280,2575931200
648754352,733967266
2302194199,644609532
1638688358,1765370161
534125143,677289150
6547419542,734170234
4759652555,1359328934
2335101087,1583042958
8100939507,1843406934
7043687470,6789479293
8190504620,7124116859
5888260839,1817905746
320904746,6347125764
2102414947,2290922396
7890340986,7345747373
323167682,3300066377
1327769557,8100999998
1410708919,8190479013
607869667,2512571065
734045358,1802402423
6726753730,1968142087
3664774521,3017144383
5077445952,8195791962
1806444910,1243758281
6781650560,1807791841
701721825,8230110978
1875160057,2293355639
1852486469,5200312697
1819087379,2122594946
3708879506,6856058393
1836427273,533645205
8230111204,4120401026
1861654994,746966124
1861655011,1852430213
1852440451,2132316245
733992842,5360885641
383999628,3300027080
1083559391,1685963240
8190479013,3010473700
8571680037,322451706
8259221408,2575647229
353122271,1226548300
530636022,2492201127
2595027902,1808572957
5945078576,605041180
320828782,1765433391
1968232330,1860097038
1519720844,746856446
2230046198,734045544
32615480,1976297656
720692434,4331011211
8190453907,754517421
734045515,606737531
2199356759,4685287113
1923857572,7345747372
1673265482,7824674547
1414025829,6019204892
1346474182,6226800375
1272250081,733992781
3031133708,1230360940
6778570773,3204190456
252852844,7124116836
4489507569,754517089
6219397906,2458117743
1808613632,529963334
1702679729,318266737
6652688891,2791826573
8259183791,2377575684
5467348586,5365453678
1343051016,4333952012
8100955867,245154243
1056760456,8283458681
644609333,1343050172
1231775437,6143897135
1828299335,754400892
534313794,1942891379
3300195515,1226548248
8259236179,1807875251
1771738182,6506028060
2477836542,1813979414
5260536218,7266667311
2207734187,2699333603
727256599,7266761394
2558656098,268389953
1420909618,5257082277
269427350,656070967
8190434537,754517029
34928517,1360092416
